persona_sk,sexo_cod,edad,alfabetismo_cod,asistencia_escolar,nivel_educativo_cod,cotiza_pension_cod,actividad_economica_cod,sexo,alfabetismo,nivel_educativo,cotiza_pension,actividad_economica,grupo_edad
566,1,6,1,1,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,6-12
567,2,6,1,1,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,6-12
568,2,6,1,1,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
569,1,3,1,2,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
570,2,4,1,2,1,1,5,Mujer,Alfabeto,Ninguno,Cotiza,Ama de casa,0-5
571,1,4,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
572,2,4,1,1,2,3,4,Mujer,Alfabeto,Preescolar,,Estudiante,0-5
573,1,4,2,1,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
574,2,5,1,2,3,3,3,Mujer,Alfabeto,Primaria,,Desempleado,6-12
575,1,5,1,1,3,1,4,Hombre,Alfabeto,Primaria,Cotiza,Estudiante,6-12
576,2,2,2,2,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,0-5
577,2,6,1,2,3,1,3,Mujer,Alfabeto,Primaria,Cotiza,Desempleado,6-12
578,2,2,1,2,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,0-5
579,2,5,1,1,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,6-12
580,1,3,2,1,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
581,2,3,1,2,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,0-5
582,2,4,1,2,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,0-5
583,2,1,2,2,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,0-5
584,2,6,1,1,3,3,5,Mujer,Alfabeto,Primaria,,Ama de casa,6-12
585,1,6,1,1,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,6-12
586,2,5,1,1,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,6-12
587,2,4,2,1,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,0-5
588,1,4,1,1,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
589,2,4,1,1,3,1,1,Mujer,Alfabeto,Primaria,Cotiza,Empleado,0-5
590,2,2,2,2,2,2,4,Mujer,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
591,2,5,2,2,1,3,1,Mujer,Analfabeto,Ninguno,,Empleado,6-12
592,1,3,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
593,2,1,2,1,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,0-5
594,1,6,2,1,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,6-12
595,1,3,1,1,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
596,1,6,2,2,2,3,2,Hombre,Analfabeto,Preescolar,,Independiente,6-12
597,2,4,1,2,3,3,5,Mujer,Alfabeto,Primaria,,Ama de casa,0-5
598,2,3,1,2,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
599,2,1,2,2,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
600,1,2,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
601,1,5,2,2,1,3,2,Hombre,Analfabeto,Ninguno,,Independiente,6-12
602,1,6,1,2,1,1,1,Hombre,Alfabeto,Ninguno,Cotiza,Empleado,6-12
603,2,4,1,1,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
604,2,3,1,2,1,2,3,Mujer,Alfabeto,Ninguno,No cotiza,Desempleado,0-5
605,1,6,1,1,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,6-12
606,2,5,2,2,1,1,3,Mujer,Analfabeto,Ninguno,Cotiza,Desempleado,6-12
607,2,5,1,2,1,1,5,Mujer,Alfabeto,Ninguno,Cotiza,Ama de casa,6-12
608,2,6,1,2,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,6-12
609,1,5,1,1,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,6-12
610,2,3,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
611,2,6,1,2,1,1,2,Mujer,Alfabeto,Ninguno,Cotiza,Independiente,6-12
612,2,4,1,2,1,1,2,Mujer,Alfabeto,Ninguno,Cotiza,Independiente,0-5
613,2,3,1,1,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,0-5
614,1,6,1,1,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,6-12
615,1,4,2,2,1,1,1,Hombre,Analfabeto,Ninguno,Cotiza,Empleado,0-5
616,1,4,1,2,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
617,1,3,1,2,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,0-5
618,1,5,1,2,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,6-12
619,1,5,1,1,3,3,5,Hombre,Alfabeto,Primaria,,Ama de casa,6-12
620,1,6,1,1,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,6-12
621,1,4,1,2,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,0-5
622,2,4,2,2,2,1,2,Mujer,Analfabeto,Preescolar,Cotiza,Independiente,0-5
623,2,4,1,2,2,3,4,Mujer,Alfabeto,Preescolar,,Estudiante,0-5
624,1,4,2,1,2,1,3,Hombre,Analfabeto,Preescolar,Cotiza,Desempleado,0-5
625,1,4,2,2,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
626,2,6,1,1,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,6-12
627,2,3,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
628,2,3,1,1,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,0-5
629,1,4,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
630,2,6,1,1,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
631,1,3,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
632,1,6,1,1,2,3,2,Hombre,Alfabeto,Preescolar,,Independiente,6-12
633,2,5,1,1,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,6-12
634,2,5,2,2,2,3,5,Mujer,Analfabeto,Preescolar,,Ama de casa,6-12
635,2,5,1,1,3,1,1,Mujer,Alfabeto,Primaria,Cotiza,Empleado,6-12
636,2,6,2,2,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
637,2,6,1,1,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,6-12
638,1,3,1,2,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,0-5
639,1,4,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
640,1,5,2,1,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,6-12
641,1,4,1,2,3,1,4,Hombre,Alfabeto,Primaria,Cotiza,Estudiante,0-5
642,2,6,1,2,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,6-12
643,2,4,1,1,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
644,1,3,1,2,2,3,5,Hombre,Alfabeto,Preescolar,,Ama de casa,0-5
645,1,3,1,2,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
646,1,6,2,1,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,6-12
647,1,3,2,2,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,0-5
648,1,6,1,1,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
649,2,3,1,2,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,0-5
650,2,6,1,1,2,3,2,Mujer,Alfabeto,Preescolar,,Independiente,6-12
651,2,6,1,2,1,3,1,Mujer,Alfabeto,Ninguno,,Empleado,6-12
652,2,3,1,2,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,0-5
653,2,4,1,1,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,0-5
654,2,5,2,2,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
655,1,6,1,1,3,3,1,Hombre,Alfabeto,Primaria,,Empleado,6-12
656,1,6,1,2,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,6-12
657,2,5,1,2,3,3,1,Mujer,Alfabeto,Primaria,,Empleado,6-12
658,2,6,2,2,2,3,1,Mujer,Analfabeto,Preescolar,,Empleado,6-12
659,2,4,1,1,3,3,4,Mujer,Alfabeto,Primaria,,Estudiante,0-5
660,2,3,1,1,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
661,1,4,1,1,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
662,2,3,1,1,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
663,1,5,2,2,2,3,1,Hombre,Analfabeto,Preescolar,,Empleado,6-12
664,2,3,1,2,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,0-5
665,1,5,1,1,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,6-12
666,1,6,1,1,2,3,1,Hombre,Alfabeto,Preescolar,,Empleado,6-12
667,1,4,1,1,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
668,1,5,2,1,2,3,5,Hombre,Analfabeto,Preescolar,,Ama de casa,6-12
669,1,5,1,2,1,1,5,Hombre,Alfabeto,Ninguno,Cotiza,Ama de casa,6-12
670,2,4,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
671,2,4,2,1,2,1,4,Mujer,Analfabeto,Preescolar,Cotiza,Estudiante,0-5
672,2,6,1,1,1,3,5,Mujer,Alfabeto,Ninguno,,Ama de casa,6-12
673,2,4,2,1,2,2,3,Mujer,Analfabeto,Preescolar,No cotiza,Desempleado,0-5
674,1,6,1,1,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
675,1,5,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
676,1,6,2,1,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,6-12
677,1,4,2,1,2,1,4,Hombre,Analfabeto,Preescolar,Cotiza,Estudiante,0-5
678,1,3,1,2,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,0-5
679,2,3,1,2,2,3,1,Mujer,Alfabeto,Preescolar,,Empleado,0-5
680,2,6,2,2,2,1,1,Mujer,Analfabeto,Preescolar,Cotiza,Empleado,6-12
681,2,4,1,1,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,0-5
682,2,6,1,2,3,3,4,Mujer,Alfabeto,Primaria,,Estudiante,6-12
683,1,6,1,2,1,1,3,Hombre,Alfabeto,Ninguno,Cotiza,Desempleado,6-12
684,2,4,1,2,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
685,1,4,2,2,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
686,2,6,1,1,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,6-12
687,2,4,2,1,2,1,2,Mujer,Analfabeto,Preescolar,Cotiza,Independiente,0-5
688,2,5,2,1,1,1,2,Mujer,Analfabeto,Ninguno,Cotiza,Independiente,6-12
689,2,5,1,1,3,3,1,Mujer,Alfabeto,Primaria,,Empleado,6-12
690,1,1,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
691,1,6,1,2,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,6-12
692,1,5,1,2,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,6-12
693,1,5,1,1,2,3,4,Hombre,Alfabeto,Preescolar,,Estudiante,6-12
694,2,3,1,1,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,0-5
695,2,3,1,2,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,0-5
